permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,target,primary_category,funding_total_usd_clean,market_share,industry_hhi,clustering_coefficient,degree_centrality,weak_tie_ratio,num_investors,working_capital,breakout_velocity
/organization/10seconds-software,10seconds Software,http://www.10secondsSoftware.com,Enterprise Software|Mobility|Software,100000,operating,AUS,2,Sydney,Sydney,1,2009-07-01,2010-07-01,2010-07-01,1,Mobility,100000.0,0.0027323337545681206,0.3325454855383846,0.0,0.0,0.0,0.0,11.51293546492023,0.0
/organization/10tracks-2,10tracks,http://10tracks.com,iOS|Mobile|Music,-,operating,,,,,2,2012-01-01,2013-07-31,2014-02-03,1,Mobile,0.0,0.0,0.12278296107089119,0.13565243245252165,146.0,0.02050580997949419,2.0,0.0,0.0
/organization/10x-genomics,10X Genomics,http://10xgenomics.com,Biotechnology|Technology,55000000,operating,USA,CA,SF Bay Area,Pleasanton,1,2012-01-01,2015-01-12,2015-01-12,1,Technology,55000000.0,0.024174544755014602,0.11045785661960267,0.20069126992975805,288.0,0.013869625520110958,3.0,17.822843761378564,2.052138196800184
/organization/10x-technologies,10X Technologies,http://10xtechnologies.com,Biotechnology,3550000,operating,USA,CA,SF Bay Area,Oakland,2,2012-01-01,2012-11-07,2015-01-12,1,Unknown,3550000.0,1.6640208796939248e-05,0.0014423226788110742,0.0,0.0,0.0,0.0,15.0824584431417,0.0
/organization/10x10-room,10X10 Room,http://10x10room.com,Software,77500,operating,USA,MA,Boston,Lexington,1,2010-01-01,2011-10-12,2011-10-12,1,Unknown,77500.0,3.6327216387684274e-07,0.0014423226788110742,0.0,0.0,0.0,0.0,11.258046118484,0.0
/organization/11i-solutions,11i Solutions,http://www.11isolutions.com,Enterprise Software,1800000,closed,USA,AL,Huntsville,Huntsville,1,,2011-03-22,2011-03-22,0,Unknown,1800000.0,8.437288967462154e-06,0.0014423226788110742,0.0,0.0,10.0,1.0,14.403297778421795,12587.739554919093
/organization/121cast,121cast,http://www.121cast.com,Audio|Mobile|Music,440000,operating,AUS,7,Melbourne,Melbourne,3,2012-02-01,2012-05-01,2013-06-30,1,Mobile,440000.0,2.511122253499746e-05,0.12278296107089119,0.019511651243170922,28.0,0.14084507042253522,3.0,12.994532278619134,13.783514082901716
/organization/121nexus,121nexus,http://www.121nexus.com,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,794000,operating,USA,RI,Providence,Providence,6,2011-10-07,2012-02-06,2014-01-01,1,Medical Devices,794000.0,0.003215597953642061,0.16999897436173336,0.022020292117292898,79.0,0.125,9.0,13.584839999674324,9.433970421113115
/organization/1234enter,1234ENTER,http://www.1234enter.com.br,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,650267,operating,,,,,2,2012-01-01,2012-09-01,2013-11-22,1,Analytics,650267.0,0.0006985112427309959,0.07007509926451577,0.0,0.0,0.0,0.0,13.385139864588668,0.0
/organization/123contactform,123ContactForm,http://www.123contactform.com,E-Commerce|SaaS,1000000,operating,ROM,36,Timisoara,Timisoara,2,2008-01-01,2010-01-01,2015-06-16,1,SaaS,1000000.0,0.0004930445937489951,0.057796456858959615,0.0,0.0,10.0,1.0,13.815511557963774,2037.7925629218173
/organization/123people,yelster digital gmbh (former 123people),http://yelsterdigital.com,Local Search|Software|Web Design,-,acquired,AUT,9,Vienna,Vienna,1,2007-01-01,2008-01-01,2008-01-01,1,Software,0.0,0.0,0.016038692107825596,0.012543204370609878,9.0,0.2173913043478261,1.0,0.0,0.0
/organization/1248,1248,http://1248.io/index.php/?page=index,Software,378812,operating,GBR,C3,London,Cambridge,1,2013-01-01,2014-03-18,2014-03-18,1,Unknown,378812.0,1.7756368379679296e-06,0.0014423226788110742,0.004181068123536626,3.0,0.625,1.0,12.844797958606975,701.605692259984
/organization/12cm,12cm,http://www.echoss.co.kr,Mobile|Service Providers|Software,1809056,operating,KOR,13,Bundangdong,Bundangdong,1,,2014-12-11,2014-12-11,1,Service Providers,1809056.0,0.004741212771989561,0.5320071590176291,0.05714126435500056,41.0,0.04854368932038835,1.0,14.408316273002091,1.2904494288492596
/organization/12return,12Return,http://www.12return.com,Consumer Goods|Retail|SaaS|Software,619494,operating,NLD,11,NLD - Other,Gorinchem,1,2010-12-10,2012-06-01,2012-06-01,1,Retail,619494.0,0.0008955421933201169,0.10919334506783075,0.0,0.0,0.0,0.0,13.336659908993743,0.0
/organization/12society,12Society,http://www.12Society.com,E-Commerce,-,acquired,USA,CA,Los Angeles,West Hollywood,1,2012-01-01,2012-04-05,2012-04-05,1,Unknown,0.0,0.0,0.0014423226788110742,0.03948786561117924,85.0,0.07009345794392524,5.0,0.0,0.0
/organization/139shop,139shop,http://www.139shop.com,E-Commerce,-,operating,CHN,,,,1,,2007-02-01,2007-02-01,1,Unknown,0.0,0.0,0.0014423226788110742,0.26201360240829524,188.0,0.010626992561105207,1.0,0.0,0.0
/organization/13th-lab,13th Lab,http://13thlab.com,Augmented Reality|Computer Vision|Games|iPad|Mobile,700000,acquired,SWE,26,Stockholm,Stockholm,1,2010-01-01,2012-06-15,2012-06-15,1,Computer Vision,700000.0,0.008186880182996889,0.47276122025731293,0.05017281748243951,36.0,0.055248618784530384,1.0,13.45883704259595,1.5402690312473086
/organization/15five,15Five,http://15five.com,Software,3400000,operating,USA,CA,SF Bay Area,San Francisco,3,2011-05-01,2012-01-01,2014-10-02,1,Unknown,3400000.0,1.5937101382984066e-05,0.0014423226788110742,0.19177165793287992,1032.0,0.014513788098693761,14.0,15.039286283703994,19.076285506392626
/organization/15minutesnow,15MinutesNOW,http://15minutesnow.com,Games,200000,operating,,,,,1,2011-04-19,2011-05-10,2011-05-10,1,Unknown,200000.0,9.374765519402393e-07,0.0014423226788110742,0.0,0.0,0.0,0.0,12.206077645517674,0.0
/organization/16-mile-solutions,16 Mile Solutions,,Software,199957,operating,USA,WA,Seattle,Seattle,1,2006-01-01,2009-06-11,2009-06-11,1,Unknown,199957.0,9.372749944815721e-07,0.0014423226788110742,0.0,0.0,0.0,0.0,12.205862623477087,0.0
/organization/169-st,169 ST.,http://www.junebugreview.com,Entertainment|Games,50000,closed,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-06-01,2009-06-01,0,Games,50000.0,1.1517720002306895e-05,0.058216768033782215,0.0,0.0,0.0,0.0,10.819798284210286,0.0
/organization/170-systems,170 Systems,http://www.170systems.com,Software,14000000,acquired,USA,MA,Boston,Bedford,1,1990-01-01,2002-04-16,2002-04-16,1,Unknown,14000000.0,6.562335863581675e-05,0.0014423226788110742,0.3010369048946371,216.0,0.009250693802035153,1.0,16.454567959008102,13.30290834355133
